abbrevName_fish,scientificName_fish,scientificNameID_fish,vernacularName,FishSpecies
A. aestivalis,Alosa aestivalis,urn:lsid:itis.gov:itis_tsn:161703,Blueback herring,A_aes
A. pseudoharengus,Alosa pseudoharengus,urn:lsid:itis.gov:itis_tsn:161706,Alewife,A_pse
A. dubius,Ammodytes dubius,urn:lsid:itis.gov:itis_tsn:171674,Northern sand lance,A_dub
C. harengus,Clupea harengus,urn:lsid:itis.gov:itis_tsn:161722,Atlantic herring,C_har
P. triacanthus,Peprilus triacanthus,urn:lsid:itis.gov:itis_tsn:172567,Atlantic butterfish,P_tri
S. scombrus,Scomber scombrus,urn:lsid:itis.gov:itis_tsn:172414,Atlantic mackerel,S_sco
